type	conference_acronym	conference_name	conference_date	conference_location
Big Data	EAI IoTCare 2021	2nd EAI International Conference on IoT and Big Data Technologies for HealthCare	Oct 18, 2021	Leicester, Great Britain
Big Data	IEEE COINS 2021	International Conference on Omni-Layer Intelligent Systems Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing	Aug 23, 2021	Barcelona, Spain
Big Data	IEEE COINS 2021	IEEE COINS | IoT , AI, and Big Data for Healthcare Track	Aug 23, 2021	Barcelona, Spain
Big Data	IEEE COINS 2021	AI ML Big Data Vision Track | Artificial Intelligence | Machine Learning | Deep Learning | Machine Vision | Big Data Analytics | Video Analytics	Aug 23, 2021	Barcelona, Spain
Big Data	CLUSTER 2021	23rd IEEE Cluster Conference	Sep 7, 2021	Portland, Oregon, USA
Big Data	DaWaK 2021	The 23rd International Conference on Big Data Analytics and Knowledge Discovery	Sep 27, 2021	Linz, Austria (Virtual)
Big Data	EAI BigIoT-EDU (virtual) 2021	EAI International Conference on Application of Big Data, Blockchain, and Internet of Things for Education Informatization (online conference)	Aug 1, 2021	N/A, Cyberspace
Big Data	BigData 2021	IEEE International Conference on Big Data 2021 Data Challenges	Dec 15, 2021	Orlando, FL
Big Data	JCC-BD&ET 2021	9th Conference on Cloud Computing, Big Data & Emerging Topics--Springer CCIS (Ei Compendex & Scopus)	Jun 21, 2021	La Plata, Argentina
Big Data	LOD  2021	The 7th Online & Onsite International Conference on Machine Learning, Optimization & Data Science 	Oct 5, 2021	Grasmere, Lake District, England – UK
Big Data	MegaData 2021	International Workshop on Advanced Data Systems Management, Engineering, and Analytics	Aug 24, 2021	Tartu, Estonia
Big Data	ICUIA 2021	International Conference on Urban Intelligence and Applications 2021	Jul 30, 2021	Hefei, China
Big Data	MESS 2020	Metaheuristics Summer School 2020+1 :: Learning & Optimization from Big Data	Jun 15, 2021	Catania, Italy
Big Data	SMC 2021	 Smoky Mountains Computational Sciences & Engineering Conference 2021	Aug 24, 2021	Oak Ridge, TN
Big Data	EAI eLEOT  2021	7th EAI International Conference on e-Learning e-Education and Online Training	Jun 20, 2021	Xinxiang, PRC
Big Data	ICWE Workshops 2021	ICWE 2021 - Workshops Joint Call for Papers	May 18, 2021	Biarritz, France
Big Data	KDWEB  2021	Seventh International Workshop on Knowledge Discovery on the Web	May 20, 2021	Biarritz, France
Big Data	ITISE 2021	7th International Conference on Time Series and Forecasting (ITISE 2021)	Jul 19, 2021	Gran Canaria, Spain
Big Data	ICDSA 2021	2nd International Conference on Data Science and Applications	Apr 10, 2021	Kolkata, India
Big Data	IEEE HPSC 2021	7th IEEE International Conference on High Performance and Smart Computing	May 15, 2021	New York, USA
Big Data	Auto-DaSP 2021	International Workshop on Autonomic Solutions for Parallel and Distributed Data Stream Processing	Apr 19, 2021	Rennes, France (probably online)
Big Data	ICDM 2023	23th Industrial Conference on Data Mining	Jul 12, 2023	New York, USA
Big Data	ICDM 2021	21th Industrial Conference on Data Mining 	Jul 14, 2021	New York, USA
Big Data	SIMPLIFY 2021	1st International Workshop on Data Analytics and Machine Learning Made Simple	Mar 23, 2021	Nicosia, Cyprus
Big Data	RDAAPS 2021	Reconciling Data Analytics, Automation, Privacy, and Security: A Big Data Challenge	May 17, 2021	McMaster University, Hamilton ON, Canada
Big Data	PAKDD 2021	Pacific-Asia Conference on Knowledge Discovery and Data Mining	May 11, 2021	Delhi, India
Big Data	BDSN 2020	The 8th International workshop on Big Data and Social Networking Management and Security	Dec 14, 2020	Paris, France
Big Data	OSNT 2020	The Fifth International Workshop on Online Social Networks Technologies	Dec 14, 2020	Paris, France
Big Data	EAI BDTA 2020	(Virtual) 10th EAI International Conference on Big Data Technologies and Applications	Dec 11, 2020	Wuhan, People's Republic of China
Big Data	IWSMAI 2021	CFP: The 2nd International Workshop on Statistical Methods and Artificial Intelligence	Mar 23, 2021	WARSAW, POLAND
Big Data	U2BigData 2020	User Understanding from Big Data Workshop - in conjunction with IEEE Big Data 2020	Dec 10, 2020	Atlanta, GA
Big Data	IWBDR 2020	 International Workshop on Big Data Reduction	Dec 10, 2020	Virtual, USA
Big Data	ICSC 2021	International Conference on Semantic Computing	Jan 27, 2021	Laguna Hills, CA
Big Data	EAI BDCC 2020	BDCC 2020 - 3rd EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Dec 18, 2020	Coimbatore, India
Big Data	SABID 2020	SABID 2020: WORKSHOP ON SOLAR & STELLAR ASTRONOMY BIG DATA (online)	Dec 13, 2020	online, part of IEEE BigData 2020
Big Data	DPM 2020	Discriminative Pattern Mining Workshop	Dec 10, 2020	Atlanta, Georgia, USA
Big Data	ICSESS 2020	 2020 the 11th International Conference on Software Engineering and Service Science 	Oct 16, 2020	Beijing,China
Big Data	IEEE BigComp  2021	2021 IEEE International Conference on Big Data and Smart Computing	Jan 17, 2021	Bangkok, Thailand
Big Data	IEEE BigComp  2021	2021 IEEE International Conference on Big Data and Smart Computing	Jan 17, 2021	Jeju Island, Korea
Big Data	MEDES 2020	The 12th International Conference on Management of Digital EcoSystems	Nov 2, 2020	Abu Dhabi, UAE
Big Data	ibdaa 2020	Workshop on IoT based Big Data Architectures and Applications - in conjunction with IEEE Big Data 2020	Dec 10, 2020	Atlanta, Georgia
Big Data	ICMBWA 2020	International Conference on Managing Business through Web Analytics	Dec 7, 2020	Khemis Miliana, Algeria
Big Data	IEEE BigDataSE 2021	The 14th IEEE International Conference on Big Data Science and Engineering	Dec 29, 2020	Guangzhou, China
Big Data	AICI 2021	The Second International Conference on Artificial Intelligence and Computational Intelligence (AICI 2021)	Jan 15, 2021	Hanoi, Vietnam
Big Data	Big Data 2020	IEEE International Conference on Big Data	Dec 13, 2020	Atlanta, GA, USA
Big Data	CSoNet  2020	9th International Conference on Computational Data and Social Networks	Dec 11, 2020	Dallas, TX
Big Data	IDSTA 2020	IEEE co-sponsored International Conference on Intelligent Data Science Technologies and Applications	Oct 19, 2020	Valencia, Spain
Big Data	AusDM 2020	The 18th Australasian Data Mining Conference 2020	Dec 1, 2020	Canberra, Australia
Big Data	BDCAT 2020	7th IEEE/ACM Big Data Computing, Application Technology	Dec 7, 2020	Leicester, UK
Big Data	IEEE BigDataSE 2020	The 14th IEEE International Conference on Big Data Science and Engineering	Dec 29, 2020	Guangzhou, China
Big Data	BDNT- 2020	The 6th International workshop on Big Data and Networks Technologies	Nov 2, 2020	Madeira, Portugal
Big Data	BDNT- 2020	The 6th International workshop on Big Data and Networks Technologies	Nov 2, 2020	Madeira, Portugal
Big Data	BDNT 2020	The 6th International workshop on Big Data and Networks Technologies	Nov 2, 2020	Madeira, Portugal
Big Data	CloudCom 2020	The 12th IEEE International Conference on  Cloud Computing Technology and Science	Dec 14, 2020	Bangkok, Thailand
Big Data	IIoTBDSC 2020	The First International Conference on Industrial IoT Big Data and Supply Chain (IIoTBDSC) 	Sep 15, 2020	Macao, SAR of China
Big Data	BDA 2020	8th International Conference on Big Data Analytics	Dec 15, 2020	Ashoka University, Sonipat, India
Big Data	SIMBig 2020	7th International Conference on Information Management and Big Data	Oct 1, 2020	Lima, Peru
Big Data	WITCOM  2020	The 9th International Congress of   Telematics & Computing	Nov 2, 2020	Puerto Vallarta, Jalisco, Mexico
Big Data	IDEAL 2020	21st International Conference on Intelligent Data Engineering and Automated Learning	Nov 4, 2020	Guimarães, Portugal
Big Data	BDBI 2020	3rd Workshop on Big Data and Business Intelligence	Oct 8, 2020	lisbon, Portugal
Big Data	WBDBI- 2020	3rd Workshop on Big Data and Business Intelligence	Oct 8, 2020	Lisbon, Portugal
Big Data	BDNT 2020	The 6th International workshop on Big Data and Networks Technologies	Nov 2, 2020	Madeira, Portugal
Machine Learning	BDSN  2022	The 10th International workshop on Big Data and Social Networking Management and Security	Nov 29, 2022	Milan, Italy
Machine Learning	DSEA 2022	The 6th International Workshop on Data Science Engineering and its Applications	Nov 29, 2022	Milan, Italy
Machine Learning	OSNT 2022	The 8th International Workshop on Online Social Networks Technologies	Nov 29, 2022	Milan, Italy
Machine Learning	ANLP 2022	The 6th International Workshop on Advances in Natural Language Processing	Nov 29, 2022	Milan, Italy
Machine Learning	SAMSN 2022	The 5th International Workshop on Sentiment Analysis and Mining of Social Networks	Nov 29, 2022	Milan, Italy
Machine Learning	MCSMS 2022	The 8th International Workshop on Mobile Cloud Computing systems, Management, and Security	Nov 29, 2022	Milan, Italy
Machine Learning	HMiMS 2022	The 4th International Symposium on Health and Medical informatics, Management and Security	Nov 29, 2022	Milan, Italy
Machine Learning	NETWORKS 2022	6th International Conference on Networks & Communications	Nov 19, 2022	Zurich, Switzerland
Machine Learning	NATL 2022	8th International Conference on Natural Language Computing 	Nov 19, 2022	Zurich, Switzerland
Machine Learning	CSML 2023	International Conference on Computer Science and Machine Learning 	Jan 2, 2023	Zurich, Switzerland
Machine Learning	AE 2022	6th International Conference on Advances in Engineering	Dec 22, 2022	Sydney, Australia
Machine Learning	MLSC 2023	4th International Conference on Machine Learning and Soft Computing 	Jan 28, 2023	Copenhagen, Denmark
Machine Learning	BIOS 2022	8th International Conference on Bioinformatics & Biosciences 	Oct 29, 2022	Vienna, Austria
Machine Learning	SCAI 2022	11th International Conference on Soft Computing, Artificial Intelligence and Applications	Nov 26, 2022	London, United Kingdom
Machine Learning	NLMLT 2022	International Conference on NLP and Machine Learning Trends	Nov 12, 2022	Chennai, India
Machine Learning	ACM ICCAI 2023	ACM--2023 9th International Conference on Computing and Artificial Intelligence (ICCAI 2023)--SCI	Mar 17, 2023	Tianjin, China
Machine Learning	AI4Science 2022	AI for Science, NASSMA workshop	Dec 12, 2022	Rabat, Morocco
Machine Learning	ITCS 2022	11th International Conference on Information Technology Convergence and Services	Nov 12, 2022	Chennai, India
Machine Learning	SOEA 2023	7th International Conference on Software Engineering and Applications  	Jan 2, 2023	Zurich, Switzerland
Machine Learning	WeST 2022	14th International Conference on Web services & Semantic Technology	Dec 23, 2022	Sydney, Australia
Machine Learning	AI 2022	8th International Conference on Artificial Intelligence and Applications	Oct 29, 2022	Vienna, Austria
Machine Learning	Fuzzy 2022	8th International Conference on Fuzzy Logic Systems	Nov 19, 2022	Zurich, Switzerland
Machine Learning	DSA 2022	3rd International Conference on Data Science and Applications 	Dec 23, 2022	Sydney, Australia
Machine Learning	FinancialNews&Data-IEEE-BigData 2022	The 6th IEEE International Workshop on Big Data for Financial News and Data	Dec 17, 2022	Osaka, Japan (also Online)
Machine Learning	ACITY 2022	12th International Conference on Advances in Computing and Information Technology	Dec 23, 2022	Sydney, Australia
Machine Learning	MLIOB 2023	4th International Conference on Machine Learning, IOT and Blockchain	Jan 2, 2023	Zurich, Switzerland
Machine Learning	NLAI 2022	3rd International Conference on NLP & Artificial Intelligence Techniques	Nov 26, 2022	London, United Kingdom
Machine Learning	BDAB  2023	4th International Conference on Big Data and Blockchain 	Jan 28, 2023	Copenhagen, Denmark
Machine Learning	ICSS 2022	8th International Conference on Software Security 	Dec 23, 2022	Sydney, Australia
Machine Learning	AI 2022	8th International Conference on Artificial Intelligence and Applications	Oct 29, 2022	Vienna, Austria
Machine Learning	AIAA 2022	12th International Conference on Artificial Intelligence, Soft Computing and Applications	Dec 23, 2022	Sydney, Australia
Machine Learning	CSTY 2022	8th International Conference on Computer Science and Information Technology	Oct 29, 2022	Vienna, Austria
Machine Learning	CLBD 2022	3rd International Conference on Data Mining and Software Engineering	Nov 12, 2022	Chennai, India
Machine Learning	AIAA 2022	12th International Conference on Artificial Intelligence, Soft Computing and Applications	Dec 23, 2022	Sydney, Australia
Machine Learning	BMLI 2022	3rd International Conference on Big Data, Machine Learning and IoT	Dec 22, 2022	Sydney, Australia
Machine Learning	SPPR 2022	11th International Conference on Signal, Image Processing and Pattern Recognition	Nov 26, 2022	London, United Kingdom
Machine Learning	NLMLT 2022	International Conference on NLP and Machine Learning Trends	Nov 12, 2022	Chennai, India
Machine Learning	MLDS 2022	3rd International Conference on Machine Learning Techniques and Data Science	Nov 26, 2022	London, United Kingdom
Machine Learning	BDHI  2023	4th International Conference on Big Data & Health Informatics	Jan 2, 2023	Zurich, Switzerland
Machine Learning	CST 2022	9th International Conference on Foundations of Computer Science & Technology	Nov 12, 2022	Chennai, India
Machine Learning	AI 2022	8th International Conference on Artificial Intelligence and Applications	Oct 29, 2022	Vienna, Austria
Machine Learning	ICCSEA 2022	12th International Conference on Computer Science, Engineering and Applications	Nov 26, 2022	London, United Kingdom
Machine Learning	SIGML 2023	4th International Conference on Signal Processing and Machine Learning 	Feb 18, 2023	Dubai, UAE
Machine Learning	AIAP  2023	10th International Conference on Artificial Intelligence and Applications 	Feb 18, 2023	Dubai, UAE
Machine Learning	CEEE  2022	4th International Conference on Applied Control, Electrical and Electronics Engineering	Dec 17, 2022	Dubai, UAE
Machine Learning	AIMLA 2023	3rd International Conference on AI, Machine Learning and Applications	Feb 25, 2023	Vancouver, Canada
Machine Learning	CSE 2022	10th International Conference on Computational Science and Engineering	Dec 17, 2022	Dubai, UAE
Machine Learning	MLAEDU 2022	International Conference on Machine Learning, AI and Education	Dec 17, 2022	Dubai, UAE
Machine Learning	AI & FL 2022	10th International Conference of Artificial Intelligence and Fuzzy Logic	Dec 17, 2022	Dubai, UAE
Machine Learning	SCM 2022	5th International Conference on Soft Computing, Control and Mathematics	Dec 17, 2022	Dubai, UAE
Machine Learning	AI & FL 2022	10th International Conference of Artificial Intelligence and Fuzzy Logic	Dec 17, 2022	Dubai, UAE
Machine Learning	SIGV 2022	International Conference on Signal Processing and Vision	Dec 17, 2022	Dubai, UAE
Machine Learning	MEDS  2022	5th International Conference on Medical Sciences	Dec 17, 2022	Dubai, UAE
Machine Learning	ELEG 2022	4th International Conference on Electrical Engineering	Dec 17, 2022	Dubai, UAE
Machine Learning	EAI ICMTEL  2023	5th EAI International Conference on Multimedia Technology and Enhanced Learning	Apr 28, 2023	Leicester, UK
Machine Learning	SNLP  2023	4th International Conference on Semantic & Natural Language Processing 	May 27, 2023	Vancouver, Canada
Machine Learning	CBDA 2023	4th International Conference on Big Data	May 20, 2023	Zurich, Switzerland
Machine Learning	ASUC 2023	14th International Conference on Ad hoc, Sensor & Ubiquitous Computing 	Mar 25, 2023	Sydney, Australia
Machine Learning	NLPIR 2022	2022 6th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2022)	Dec 16, 2022	Bangkok, Thailand
Machine Learning	DKMP  2023	11th International Conference on Data Mining & Knowledge Management Process	Mar 18, 2023	Vienna, Austria
Machine Learning	NCO 2023	9th International Conference on Networks and Communications 	Mar 25, 2023	Sydney, Australia
Machine Learning	IPMV 2023	2023 5th International Conference on Image Processing and Machine Vision (IPMV 2023)	Jan 13, 2023	Macau, China
Machine Learning	CLOUD  2023	12th International Conference on Cloud Computing: Services and Architecture	Mar 18, 2023	Vienna, Austria
Machine Learning	ACM-AMLSP 2022	2022 4th International Conference on Algorithms, Machine Learning and Signal Processing (AMLSP 2022)	Nov 25, 2022	Sanya, China
Machine Learning	SAIM 2023	4th International Conference on Soft Computing, Artificial Intelligence and Machine Learning 	May 27, 2023	Vancouver, Canada
Machine Learning	ACSIT 2023	11th International Conference of Advanced Computer Science & Information Technology	May 27, 2023	Vancouver, Canada
Machine Learning	NLPML 2023	4th International Conference on Natural Language Processing and Machine Learning	May 20, 2023	Zurich, Switzerland
Machine Learning	ACM ICMLSC 2023	ACM--2023 The 7th International Conference on Machine Learning and Soft Computing (ICMLSC 2023)	Jan 5, 2023	Chongqing, China
Machine Learning	IEEE-MLNLP 2022	2022 5th International Conference on Machine Learning and Natural Language Processing (MLNLP 2022)	Dec 23, 2022	Sanya, China
Machine Learning	BDML 2023	4th International Conference on Big Data and Machine Learning 	Mar 18, 2023	Vienna, Austria
Machine Learning	SIPRO  2023	9th International Conference on Signal and Image Processing 	Mar 18, 2023	Vienna, Austria
Machine Learning	MLIS 2022	2022 International Conference on Machine Learning and Intelligent Science (MLIS 2022)	Dec 16, 2022	Macau, China
Machine Learning	CRIS  2023	9th International Conference on Cryptography and Information Security	May 20, 2023	Zurich, Switzerland
Machine Learning	SIPM  2023	11th International Conference on Signal Image Processing and Multimedia	May 27, 2023	Vancouver, Canada
Machine Learning	SE  2023	11th International Conference on Software Engineering & Trends	May 27, 2023	Vancouver, Canada
Machine Learning	FCST 2023	11th International Conference on Foundations of Computer Science & Technology	May 27, 2023	Vancouver, Canada
Machine Learning	CoNeCo 2023	15th International Conference on Computer Networks & Communications 	May 27, 2023	Vancouver, Canada
Machine Learning	SAI 2023	12th International Conference on Soft Computing, Artificial Intelligence and Applications 	Mar 25, 2023	Sydney, Australia
Machine Learning	SOFT 2023	9th International Conference on Software Engineering 	Mar 25, 2023	Sydney, Australia
Machine Learning	MLT 2023	4th International Conference on Machine Learning & Trends	Mar 25, 2023	Sydney, Australia
Machine Learning	AIAPP  2023	9th International Conference on Artificial Intelligence and Applications	May 20, 2023	Zurich, Switzerland
Machine Learning	GMLR @ ACM SAC 2023	ACM SAC Track on Graph Models for Learning and Recognition	Mar 27, 2023	Tallinn, Estonia
Machine Learning	ICDIPV  2023	12th International Conference on Digital Image Processing and Vision	Jul 29, 2023	London, United Kingdom
Machine Learning	ITE 2023	4th International Conference on Integrating Technology in Education 	Jul 22, 2023	Toronto, Canada
Machine Learning	CAIML  2023	4th International Conference on Artificial Intelligence and Machine Learning	Jul 29, 2023	London, United Kingdom
Machine Learning	SIPP 2023	11th International Conference on Signal, Image Processing and Pattern Recognition 	Jul 22, 2023	Toronto, Canada
Machine Learning	CBIoT  2023	4th International Conference on Cloud, Big Data and IoT 	Jul 29, 2023	London, United Kingdom
Machine Learning	BIGML 2023	4th International conference on Big Data, Machine learning and Applications	Jul 22, 2023	Toronto, Canada
Machine Learning	NLPCL 2023	4th International Conference on Natural Language Processing and Computational Linguistics	Jul 22, 2023	Toronto, Canada
Machine Learning	ICRMV 2023	2023 the 7th International Conference on Robotics and Machine Vision (ICRMV 2023)	Jan 5, 2023	Taizhou, China
Machine Learning	IOP, EI, Scopus-EECT 2023	2023 3rd International Conference on Electrical, Electronics and Computing Technology (EECT 2023)	Mar 24, 2023	Sanya, China
Machine Learning	ACM-Ei/Scopus-MLBDM 2022	2022 2nd International Conference on Machine Learning and Big Data Management（MLBDM 2022）-EI Compendex	Dec 23, 2022	Sanya, China
Machine Learning	ACMLC 2022	IEEE--2022 5th Asia Conference on Machine Learning and Computing (ACMLC 2022)	Dec 28, 2022	Bangkok, Thailand
Machine Learning	CICBA 2023	5th International Conference on Computational Intelligence in Communications and Business Analytics	Jan 27, 2023	Kalyani, West Bengal, India
Machine Learning	ACM AICCC 2022	ACM--2022 5th Artificial Intelligence and Cloud Computing Conference (AICCC 2022)	Dec 17, 2022	Osaka, Japan
Machine Learning	evostar 2023	EvoStar 2023 - The Leading European Event on Bio‑Inspired Computation	Apr 12, 2023	Brno, Czech Republic
Machine Learning	evoAPPS 2023	EvoApplications 2023 - 26th European Conference on the Applications of Evolutionary and bio-inspired Computation	Apr 12, 2023	Brno, Czech Republic
Machine Learning	MLmDS 2023	AAAI 2023 Workshop: When Machine Learning meets Dynamical Systems: Theory and Applications	Feb 13, 2023	Washington, DC, USA
Machine Learning	ICAIE 2023	2023 3rd International Conference on Artificial Intelligence in Education (ICAIE 2023)	Mar 16, 2023	Chongqing, China
Machine Learning	ICEIT 2023	2023 12th International Conference on Educational and Information Technology (ICEIT 2023)	Mar 16, 2023	Chongqing, China
Machine Learning	ICMLT--Ei, Scopus 2023	2023 8th International Conference on Machine Learning Technologies (ICMLT 2023)--EI Compendex, Scopus	Mar 10, 2023	Stockholm, Sweden
Machine Learning	ICSSE--Ei 2023	2023 6th International Conference on Software and Services Engineering (ICSSE 2023)	Apr 13, 2023	Marseille, France
Machine Learning	ICMLC 2023	ACM--2023 15th International Conference on Machine Learning and Computing (ICMLC 2023)	Feb 17, 2023	Zhuhai, China
Machine Learning	CVPR 2023	The IEEE/CVF Conference on Computer Vision and Pattern Recognition	Jun 18, 2023	Vancouver, Canada
Machine Learning	KST 2023	2023 15th International Conference on Knowledge and Smart Technology (KST)	Feb 22, 2023	Novotel Vintage Park, Phuket, Thailand
Machine Learning	MLOpt 2023	Workshop on Machine Learning Techniques for Software Development and Optimization	Jan 16, 2023	Toulouse, France
Machine Learning	IPMI 2023	Information Processing in Medical Imaging	Jun 19, 2023	San Carlos de Bariloche, Argentina 
Machine Learning	WSPML 2022	2022 4rd International Workshop on Signal Processing and Machine Learning (WSPML 2022)	Dec 16, 2022	Beijing, China
Machine Learning	PAKDD 2023	The 26th Pacific-Asia Conference on Knowledge Discovery and Data Mining	May 25, 2023	Osaka, Japan
Machine Learning	IDITR-Chengdu 2023	2023 2nd International Conference on Innovations and Development of Information Technologies and Robotics (IDITR 2023)	May 26, 2023	Chengdu, China 
Machine Learning	MDAI 2023	20th International Conference on Modeling Decisions for Artificial Intelligence	Jun 19, 2023	Umea, Sweden
Machine Learning	ISIR-eCom 2022	INTERACTIVE AND SCALABLE INFORMATION RETRIEVAL METHODS FOR ECOMMERCE ((conjunction with WSDM 2022)	Feb 21, 2022	Phoenix, Arizona
Machine Learning	WMLDL  2023	1st International Workshop on Machine Learning and Deep Learning WMLDL 2023	Mar 7, 2023	University Mohamed Boudiaf of M'sila,Alg
Machine Learning	ICVR--SCI 2023	2023 the 9th International Conference on Virtual Reality (ICVR 2023)--IEEE, SCI	May 12, 2023	Xianyang, China
Machine Learning	MLDM 2023	18th International Conference on Machine Learning and Data Mining	Jul 16, 2023	New York, USA
Machine Learning	MLDM 2023	19th International Conference on Machine Learning and Data Mining	Jul 16, 2023	New York, USA
Machine Learning	IJCNN 2023	International Joint Conference on Neural Networks	Jul 18, 2023	Gold Coast, Australia
Machine Learning	IEEE SEAI 2023	2023 3rd IEEE International Conference on Software Engineering and Artificial Intelligence (SEAI 2023)	Jun 16, 2023	Xiamen, China
Machine Learning	ACM | PRIS 2023	2023 5th International Conference on Pattern Recognition and Intelligent Systems (PRIS 2023)	Jul 28, 2023	Shenyang, China
Machine Learning	PRA 2023	2023 5th Workshop on Pattern Recognition Applications (PRA 2023)	Jul 28, 2023	Shenyang, China
Machine Learning	LION 2023	Learning and Intelligent Optimization 17	Jun 4, 2023	Nice, France
Machine Learning	IWANN 2023	International Work-Conference on Artificial and Natural Neural Networks	Jun 19, 2023	Ponta Delgada, Azores, Portugal
Machine Learning	FAIML 2023	2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2023)	Apr 28, 2023	Hangzhou, China
Machine Learning	FAIML 2023	2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2023)	Apr 28, 2023	Hangzhou, China
Machine Learning	IEEE ICA 2022	The 6th IEEE International Conference on Agents	Nov 28, 2022	Adelaide, Australia
Machine Learning	ICPRAM 2023	12th International Conference on Pattern Recognition Applications and Methods	Feb 22, 2023	Lisbon, Portugal
Machine Learning	VISAPP 2023	18th International Conference on Computer Vision Theory and Applications	Feb 19, 2023	Lisbon, Portugal
Machine Learning	ICSED 2022	2022 4th International Conference on Software Engineering and Development (ICSED 2022)	Nov 25, 2022	Xiamen, China
Machine Learning	BIOM 2022	2nd International Conference on Big Data, IoT and Machine Learning	Oct 22, 2022	Sydney, Australia
Machine Learning	AIMLNET 2022	2nd International conference on AI, Machine Learning in Communications and Networks 	Oct 29, 2022	Vienna, Austria
Machine Learning	ECIR 2023	45th European Conference on Information Retrieval	Apr 2, 2023	Dublin, Ireland
Machine Learning	CSCT 2022	Congress on Smart Computing Technologies	Dec 3, 2012	South Asian University, India 
Machine Learning	AISC 2023	IEEE International Conference on Artificial Intelligence and Smart Communication	Jan 27, 2023	Noida, India
Machine Learning	BNAIC/BENELEARN 2022	BNAIC/BENELEARN 2022 : The 34rd Benelux Conference on Artificial Intelligence and the 31th Belgian Dutch Conference on Machine Learning	Nov 7, 2022	Mechelen, Belgium
Machine Learning	ICMIE 2022	IEEE--2022 6th International Conference on Measurement Instrumentation and Electronics (ICMIE 2022)	Nov 17, 2022	Hangzhou, China
Machine Learning	IOP, EI, Scopus-PRECE 2022	2022 International Conference on Power, Renewable Energy and Control Engineering (PRECE 2022)-EI Compendex	Oct 21, 2022	Xiamen, China
Machine Learning	IEEE--ISCMI 2022	IEEE--2022 9th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2022)--SCIE	Nov 26, 2022	Toronto, Canada
Machine Learning	SPIE ICMV 2022	SPIE--2022 The 15th International Conference on Machine Vision (ICMV 2022)	Nov 18, 2022	Rome, Italy
Machine Learning	ICLR 2023	International Conference on Learning Representations	May 1, 2023	Kigali, Rwanda
Machine Learning	ICISML 2022	1st EAI International Conference on Intelligent Systems and Machine Learning	Dec 16, 2022	Hyderabad, India
Machine Learning	EuroSymposium 2022	The XIVth EuroSymposium on Digital Transformation, 2022, University of Gdansk, Poland (videoconference, hybrid)	Dec 15, 2022	Videoconference (Sopot, Poland)
Machine Learning	FPS 2022	The 15th International Symposium on Foundations & Practice of Security	Dec 12, 2022	Ottawa, Canada
Machine Learning	FL-NeurIPS 2022	International Workshop on Federated Learning: Recent Advances and New Challenges in Conjunction with NeurIPS 2022	Dec 2, 2022	New Orleans, LA, USA
Machine Learning	HOO 2022	Order up! The Benefits of Higher-Order Optimization in Machine Learning: NeurIPS 2022	Dec 2, 2022	New Orleans, LA
Machine Learning	ACM--ESSE 2022	ACM--2022 3rd European Symposium on Software Engineering (ESSE 2022)--SCI	Oct 27, 2022	Rome, Italy
Machine Learning	AIChallengeIoT  2022	AIChallengeIoT 2022 : Workshop on Challenges in Artificial Intelligence and Machine Learning for Internet of Things	Nov 6, 2022	Boston, MA
Machine Learning	SSTDM 2022	17th International Workshop on Spatial and Spatiotemporal Data Mining	Nov 28, 2022	Orlando, Florida
Machine Learning	NLDL 2023	Northern Lights Deep Learning Conference 2023	Jan 10, 2023	Tromsø, Norway
Machine Learning	GNNet@CoNEXT 2022	Graph Neural Networking Workshop (co-located with ACM CoNEXT 2022)	Dec 9, 2022	Rome, Italy
Machine Learning	AAAI Fast Track 2023	The 37th AAAI Conference on Artificial Intelligence (Fast Track)	Feb 7, 2023	Washington, DC, USA
Machine Learning	ICCT 2023	3rd International Conference on Intelligent Communication and Computational Techniques 	Jan 19, 2023	Jaipur, India
Machine Learning	TAAI 2022	The 27th International Conference on Technologies and Applications of Artificial Intelligence (TAAI) 	Dec 1, 2022	Tainan, Taiwan
Machine Learning	GCA 2022	The Seventh International Workshop on GPU Computing and AI	Nov 21, 2022	Himeji, Japan
Machine Learning	JCRAI 2022-Ei Compendex & Scopus 2022	2022 International Joint Conference on Robotics and Artificial Intelligence (JCRAI 2022)	Oct 14, 2022	Chengdu, China
Machine Learning	AESM 2022	Algorithms towards Ethical and Privacy challenges in Social Media recommendation systems - ICDMW	Aug 20, 2022	Orlando, Florida, USA
Machine Learning	WiML 2022	17th Women in Machine Learning Workshop (WiML 2022) 	Nov 28, 2022	New Orleans, Louisiana
Machine Learning	ICDMAI 2023	7th International Conference on Data Management, Analytics and Innovation	Jan 20, 2023	Pune, India
Machine Learning	FCPAE & AIAM 2022	FCPAE Europe Forum & 4th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM2022) 	Oct 7, 2022	Hamburg, Germany
Machine Learning	IEEE-ADMIT 2022	2022 International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2022)	Sep 23, 2022	Xi'an, China
Machine Learning	ICADCML 2023	4th International Conference on Advances in Distributed Computing and Machine Learning	Jan 15, 2023	Rourkela, Odisha, India
Machine Learning	DMBD 2022	DMBD'2022: Call for Special Session Proposals & Call for Papers 	Nov 21, 2022	Beijing,China
Machine Learning	DAL 2022	Second International Conference on Data Analytics and Learning 2022	Dec 30, 2022	Moodbidri, Mangalore
