conference_acronym	conference_name	conference_date	conference_location
BDHI  2023	4th International Conference on Big Data & Health Informatics	Jan 2, 2023	Zurich, Switzerland
BDAB  2023	4th International Conference on Big Data and Blockchain 	Jan 28, 2023	Copenhagen, Denmark
BDML 2023	4th International Conference on Big Data and Machine Learning 	Mar 18, 2023	Vienna, Austria
BIoT  2023	4th International Conference on Blockchain and Internet of Things	Mar 18, 2023	Vienna, Austria
CBIoT  2023	4th International Conference on Cloud, Big Data and IoT 	Jul 29, 2023	London, United Kingdom
ICCIoT 2023	4th International Conference on Cloud and Internet of Things	Feb 18, 2023	Dubai, UAE
CCCIOT 2023	4th International Conference on Cloud Computing and IOT 	Jan 28, 2023	Copenhagen, Denmark
ICCCT 2022	4th International Conference on Communication and Computational Technologies	Feb 26, 2022	Jaipur, India
DNLP 2023	4th International Conference on Data Mining and NLP	Jan 2, 2023	Zurich, Switzerland
DSCI 2021	4th International Conference on Data Science and Computational Intelligence	Dec 20, 2021	London, United Kingdom
ELEG 2022	4th International Conference on Electrical Engineering	Dec 17, 2022	Dubai, UAE
ITE 2023	4th International Conference on Integrating Technology in Education 	Jul 22, 2023	Toronto, Canada
MLIOB 2023	4th International Conference on Machine Learning, IOT and Blockchain	Jan 2, 2023	Zurich, Switzerland
MLT 2023	4th International Conference on Machine Learning & Trends	Mar 25, 2023	Sydney, Australia
MLIS 2022	4th International Conference on Machine Learning and Intelligent Systems	Nov 8, 2022	Seoul, Korea
MLSC 2023	4th International Conference on Machine Learning and Soft Computing 	Jan 28, 2023	Copenhagen, Denmark
MECN 2022	4th International Conference on Mechanical Engineering	Dec 17, 2022	Dubai, UAE
NLCAI 2023	4th International Conference on Natural Language Computing and AI	Mar 18, 2023	Vienna, Austria
NIAI  2023	4th International Conference on Natural Language Processing, Information Retrieval and AI	Feb 18, 2023	Dubai, UAE
NLPCL 2023	4th International Conference on Natural Language Processing and Computational Linguistics	Jul 22, 2023	Toronto, Canada
NLPML 2023	4th International Conference on Natural Language Processing and Machine Learning	May 20, 2023	Zurich, Switzerland
ICPM 2022	4th International Conference on  Process Mining 2022	Oct 23, 2022	Bozen-Bolzano, Italy
SNLP  2023	4th International Conference on Semantic & Natural Language Processing 	May 27, 2023	Vancouver, Canada
SIGML 2023	4th International Conference on Signal Processing and Machine Learning 	Feb 18, 2023	Dubai, UAE
SAIM 2023	4th International Conference on Soft Computing, Artificial Intelligence and Machine Learning 	May 27, 2023	Vancouver, Canada
RSTA 2022	4th International Symposium on Rough Sets: Theory and Applications	Sep 4, 2022	Sofia, Bulgaria
IWSMR 2022	4th International Workshop on Information Security Methodology and Replication Studies	Aug 23, 2022	Vienna, Austria
IWSMAI 2023	4th International Workshop on Statistical Methods and Artificial Intelligence	Mar 15, 2022	Leuven, Belgium
ICDSBA 2021	5th Annual International Conference on Data Science and Business Analytics	Sep 24, 2021	Changsha, Hunan, China
EAI BDCC 2022	5th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Dec 16, 2022	Coimbatore, India
EAI ICMTEL  2023	5th EAI International Conference on Multimedia Technology and Enhanced Learning	Apr 28, 2023	Leicester, UK
AI4I 2022	5th International Conference on Artificial Intelligence for Industries	Sep 19, 2022	Laguna Hills, California, USA
CICBA 2023	5th International Conference on Computational Intelligence in Communications and Business Analytics	Jan 27, 2023	Kalyani, West Bengal, India
FEMIB 2023	5th International Conference on Finance, Economics, Management and IT Business	Apr 23, 2023	Lisbon, Portugal
ICDS 2021	5th International Conference on Intelligent Computing in Data Sciences	Oct 20, 2021	Fez, Morocco
MEDS  2022	5th International Conference on Medical Sciences	Dec 17, 2022	Dubai, UAE
SCM 2022	5th International Conference on Soft Computing, Control and Mathematics	Dec 17, 2022	Dubai, UAE
MobiSocial 2020	5th International  Workshop on Mobile Data Management, Mining, and Computing on Social Network	Jun 30, 2020	Versailles, France
CODS-COMAD 2022	5th Joint International Conference on Data Science & Management of Data	Jan 8, 2022	Bangalore, India
CVAUI 2022	5th Workshop on Computer Vision for Analysis of Underwater Imagery	Aug 21, 2022	Montréal, Canada
ORSUM 2022	5th Workshop on Online Recommender Systems and User Modeling (ACM RecSys 2022) 	Sep 18, 2022	Seattle, WA, USA
GeoRich 2020	6th ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data	Jun 14, 2020	Portland, OR, USA
ICACIE 2021	6th International Conference on Advanced Computing and Intelligent Engineering	Dec 23, 2021	Bhubaneswar, Odisha, India
AE 2022	6th International Conference on Advances in Engineering	Dec 22, 2022	Sydney, Australia
BIENS 2022	6th International Conference on Biomedical Engineering and Science	Dec 22, 2022	Sydney, Australia
ICITS 2023	6th International Conference on Information Technology and Systems	Feb 8, 2023	Cusco, Peru
NETWORKS 2022	6th International Conference on Networks & Communications	Nov 19, 2022	Zurich, Switzerland
IJCACI 2022	6th International Joint Conference on Advances in Computational Intelligence	Oct 15, 2022	South Asian University, India 
EAI eLEOT  2021	7th EAI International Conference on e-Learning e-Education and Online Training	Jun 20, 2021	Xinxiang, PRC
BDCAT 2020	7th IEEE/ACM Big Data Computing, Application Technology	Dec 7, 2020	Leicester, UK
IEEE HPSC 2021	7th IEEE International Conference on High Performance and Smart Computing	May 15, 2021	New York, USA
BigDaCI 2022	7th International Conference on Big Data Analytics, Data Mining and Computational Intelligence	Jul 20, 2022	Lisbon, Portugal 
ICDMAI 2023	7th International Conference on Data Management, Analytics and Innovation	Jan 20, 2023	Pune, India
DMBD 2022	7th International Conference on Data Mining and Big Data 	Nov 21, 2022	Beijing, China
SIMBig 2020	7th International Conference on Information Management and Big Data	Oct 1, 2020	Lima, Peru
NET  2023	7th International Conference on Networks and Communications	Jan 2, 2023	Zurich, Switzerland
SIPO  2023	7th International Conference on Signal, Image Processing	Jan 2, 2023	Zurich, Switzerland
ISMCI 2020	7th International Conference on Soft Computing and Machine Intelligence	Nov 14, 2020	Stockholm, Sweden
SOEA 2023	7th International Conference on Software Engineering and Applications  	Jan 2, 2023	Zurich, Switzerland
ITISE 2021	7th International Conference on Time Series and Forecasting (ITISE 2021)	Jul 19, 2021	Gran Canaria, Spain
AI 2022	8th International Conference on Artificial Intelligence and Applications	Oct 29, 2022	Vienna, Austria
ALLDATA 2022	8th International Conference on Big Data, Small Data, Linked Data and Open Data	Apr 24, 2022	Barcelona, Spain
BDA 2020	8th International Conference on Big Data Analytics	Dec 15, 2020	Ashoka University, Sonipat, India
BIOS 2022	8th International Conference on Bioinformatics & Biosciences 	Oct 29, 2022	Vienna, Austria
CSTY 2022	8th International Conference on Computer Science and Information Technology	Oct 29, 2022	Vienna, Austria
DaKM 2023	8th International Conference on Data Mining & Knowledge Management	Jul 22, 2023	Toronto, Canada
DMDBS 2022	8th International Conference on Data Mining and Database Management Systems	Nov 19, 2022	Zurich, Switzerland
Fuzzy 2022	8th International Conference on Fuzzy Logic Systems	Nov 19, 2022	Zurich, Switzerland
FSDM 2022	8th International Conference on Fuzzy Systems and Data Mining	Nov 4, 2022	Xiamen, China
IoTBDS 2023	8th International Conference on Internet of Things, Big Data and Security	Apr 21, 2023	Lisbon, Portugal
NATL 2022	8th International Conference on Natural Language Computing 	Nov 19, 2022	Zurich, Switzerland
NCWMC  2023	8th International Conference on Networks, Communications, Wireless and Mobile Computing	Jul 22, 2023	Toronto, Canada
ISCMI 2021	8th International Conference on Soft Computing and Machine Intelligence	Nov 26, 2021	Cairo, Egypt
ICSS 2022	8th International Conference on Software Security 	Dec 23, 2022	Sydney, Australia
BDNT 2022	8th International workshop on Big Data and Networks Technologies (BDNT 2022)	Aug 9, 2022	Ontario, Canada
JCC-BD&ET 2021	9th Conference on Cloud Computing, Big Data & Emerging Topics--Springer CCIS (Ei Compendex & Scopus)	Jun 21, 2021	La Plata, Argentina
BDCAT 2022	9th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies	Dec 6, 2022	Portland, Oregon, USA
IEEE CSDE 2022	9th IEEE Asia-Pacific Conference on Computer Science and Data Engineering	Dec 14, 2022	Gold Coast, Queensland, Australia
DSAA 2022	9th IEEE International Conference on Data Science and Advanced Analytics (DSAA' 2022)	Oct 13, 2022	Shenzhen, China
ADCOM 2023	9th International conference on Advanced Computing	Jan 28, 2023	Copenhagen, Denmark
AIAPP  2023	9th International Conference on Artificial Intelligence and Applications	May 20, 2023	Zurich, Switzerland
CSoNet  2020	9th International Conference on Computational Data and Social Networks	Dec 11, 2020	Dallas, TX
CRIS  2023	9th International Conference on Cryptography and Information Security	May 20, 2023	Zurich, Switzerland
DMA 2023	9th International Conference on Data Mining and Applications	May 20, 2023	Zurich, Switzerland
CST 2022	9th International Conference on Foundations of Computer Science & Technology	Nov 12, 2022	Chennai, India
ITCSS 2023	9th International Conference on Information Technology Convergence and Services	Jan 28, 2023	 Copenhagen, Denmark
NCO 2023	9th International Conference on Networks and Communications 	Mar 25, 2023	Sydney, Australia
SIPRO  2023	9th International Conference on Signal and Image Processing 	Mar 18, 2023	Vienna, Austria
SOFT 2023	9th International Conference on Software Engineering 	Mar 25, 2023	Sydney, Australia
MLmDS 2023	AAAI 2023 Workshop: When Machine Learning meets Dynamical Systems: Theory and Applications	Feb 13, 2023	Washington, DC, USA
ACM--ICICM 2022	ACM--2022 12th International Conference on Information Communication and Management (ICICM 2022)	Jul 13, 2022	London, United Kingdom
ACM ICIME 2022	ACM--2022 14th International Conference on Information Management and Engineering (ICIME 2022)--Ei Compendex, Scopus	Oct 21, 2022	Zhenjiang, China
ACM--ESSE 2022	ACM--2022 3rd European Symposium on Software Engineering (ESSE 2022)--SCI	Oct 27, 2022	Rome, Italy
ACM--ICENT 2022	ACM--2022 4th International Conference on Emerging Networks Technologies (ICENT 2022)	Sep 23, 2022	University of Ryukyu, Okinawa, Japan
ACM AICCC 2022	ACM--2022 5th Artificial Intelligence and Cloud Computing Conference (AICCC 2022)	Dec 17, 2022	Osaka, Japan
ACM--ICBDT 2022	ACM--2022 5th International Conference on Big Data Technologies (ICBDT 2022)	Sep 23, 2022	Qingdao, China
ACM ICBTA 2022	ACM--2022 5th International Conference on Blockchain Technology and Applications (ICBTA 2022)	Dec 16, 2022	Xi'an, China
MLMI 2022	ACM--2022 5th International Conference on Machine Learning and Machine Intelligence (MLMI 2022)	Sep 23, 2022	Hangzhou, China
ACM--SPML 2022	ACM--2022 5th International Conference on Signal Processing and Machine Learning (SPML 2022)	Aug 4, 2022	Dalian, China
ICCBDC 2022	ACM--2022 6th International Conference on Cloud and Big Data Computing (ICCBDC 2022)	Aug 18, 2022	Birmingham, United Kingdom
HP3C--ACM, Ei and Scopus 2022	ACM--2022 6th International Conference on High Performance Compilation, Computing and Communications (HP3C 2022)--Ei Compendex, Scopus	Jun 23, 2022	Jilin, China
ACM--CCIOT 2022	ACM--2022 7th International Conference on Cloud Computing and Internet of Things (CCIOT 2022)	Sep 23, 2022	University of Ryukyu, Okinawa, Japan
ACM--ICCCM 2022	ACM--2022 The 10th International Conference on Computer and Communications Management (ICCCM 2022)	Jul 29, 2022	Okayama University, Japan
ACM ICCNS 2022	ACM--2022 the 12th International Conference on Communication and Network Security (ICCNS 2022)	Dec 1, 2022	Beijing, China
ACM BDCI 2022	ACM--2022 The 2nd International Conference on Big Data and Computational Intelligence (BDCI 2022)	Sep 28, 2022	Xiamen, China
ICTCE--Ei 2022	ACM--2022 The 5th International Conference on Telecommunications and Communication Engineering (ICTCE 2022)	Nov 28, 2022	Chengdu, China
ACM ICCBN 2023	ACM--2023 11th International Conference on Communications and Broadband Networking (ICCBN 2023)	Feb 24, 2023	Xi'an, China
ICMLC 2023	ACM--2023 15th International Conference on Machine Learning and Computing (ICMLC 2023)	Feb 17, 2023	Zhuhai, China
APIT 2023	ACM--2023 5th Asia Pacific Information Technology Conference (APIT 2023)	Feb 9, 2023	Ho Chi Minh, Vietnam
ICBDC 2023	ACM--2023 8th International Conference on Big Data and Computing (ICBDC 2023)	May 26, 2023	Shenzhen, China
ACM ICIIT 2023	ACM--2023 8th International Conference on Intelligent Information Technology (ICIIT 2023)	Feb 24, 2023	Da Nang, Vietnam
ACM ICCAI 2023	ACM--2023 9th International Conference on Computing and Artificial Intelligence (ICCAI 2023)--SCI	Mar 17, 2023	Tianjin, China
ICCDE 2023	ACM--2023 9th International Conference on Computing and Data Engineering (ICCDE 2023)	Jan 6, 2023	Haikou, China
ICBDSC 2023	ACM--2023 the 6th International Conference on Big Data and Smart Computing (ICBDSC 2023)	Jan 31, 2023	Palmerston North, New Zealand
ICSIM--EI 2023	ACM--2023 The 6th International Conference on Software Engineering and Information Management (ICSIM 2023)	Jan 31, 2023	Palmerston North, New Zealand
ACM ICMLSC 2023	ACM--2023 The 7th International Conference on Machine Learning and Soft Computing (ICMLSC 2023)	Jan 5, 2023	Chongqing, China
KG@SAC 2022	ACM SAC 2022 Track on Knowledge Graphs	Apr 25, 2022	Brno, Czech Republic
GMLR @ ACM SAC 2023	ACM SAC Track on Graph Models for Learning and Recognition	Mar 27, 2023	Tallinn, Estonia
AIMLAI 2022	Advances in Interpretable Machine Learning and Artificial Intelligence	Oct 21, 2022	Atlanta, USA
AI4Cyber/MLHat 2022	AI4Cyber/MLHat: AI-enabled Cybersecurity Analytics and Deployable Defense	May 2, 2022	Washington, DC
AIChallengeIoT  2022	AIChallengeIoT 2022 : Workshop on Challenges in Artificial Intelligence and Machine Learning for Internet of Things	Nov 6, 2022	Boston, MA
AI4Science 2022	AI for Science, NASSMA workshop	Dec 12, 2022	Rabat, Morocco
AIHealth@FLAIRS 2020	AI in Healthcare Informatics Special Track at FLAIRS	May 17, 2020	North Miami Beach, FL
IEEE COINS 2021	AI ML Big Data Vision Track | Artificial Intelligence | Machine Learning | Deep Learning | Machine Vision | Big Data Analytics | Video Analytics	Aug 23, 2021	Barcelona, Spain
AESM 2022	Algorithms towards Ethical and Privacy challenges in Social Media recommendation systems - ICDMW	Aug 20, 2022	Orlando, Florida, USA
Processes - AI Energy 2022	Application of Artificial Intelligence and Data Mining in Energy System	Dec 30, 2021	MDPI, Processes
ai4i 2021	Artificial Intelligence for Industries (ai4i 2021)	Sep 20, 2021	Laguna Hills, California, USA
PMx@AAAI 2022	Artificial Intelligence for Predictive Maintenance - AAAI Fall Symposium Series	Nov 17, 2022	Arlington, VA
AIM@EPIA 2022	Artificial Intelligence in Medicine	Aug 31, 2022	Lisbon, Portugal
AISC 2022	Artificial Intelligence methods for Smart Cities [Elsevier][Scopus][Ei]	Oct 26, 2022	Leuven, Belgium
APSIPA ASC 2022	Asia Pacific Signal and Information Processing Association Annual Summit and Conference 2022	Nov 7, 2022	Chiang Mai, Thailand
AJCAI  2022	Australasian Joint Conference on Artificial Intelligence 2022	Dec 5, 2022	Perth, Western Australia
EAI BDCC 2020	BDCC 2020 - 3rd EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Dec 18, 2020	Coimbatore, India
BFNDMA 2020	Big Food and Nutrition Data Management and Analysis	Dec 10, 2020	Atlanta, GA, USA
BNAIC/BENELEARN 2022	BNAIC/BENELEARN 2022 : The 34rd Benelux Conference on Artificial Intelligence and the 31th Belgian Dutch Conference on Machine Learning	Nov 7, 2022	Mechelen, Belgium
CIKM 2022	Call for Applied Research Papers (CIKM 2022)	Oct 17, 2022	Atlanta, Georgia, USA
DDSCAKD 2022	Call for Contributions on Book: Data Driven Science for Clinically Actionable Knowledge in Diseases	Dec 1, 2022	Sydney, Australia
INSIGHT 2022	Call for Paper [C4P-Call4Paper] Journal of Information System, Graphics, Hospitality and Technology (INSIGHT) 2022	Dec 1, 2021	ONLINE, Published : Surabaya, Indonesia
APWeb-WAIM 2020	Call for Papers: APWeb-WAIM 2020, Demo Track	Aug 12, 2020	Tianjin, China
ICDM 2020	Call for Short&Industry Papers / 20th Industrial Conference on Data Mining ICDM 2020	Jul 15, 2020	New York, USA
IWSMAI 2021	CFP: The 2nd International Workshop on Statistical Methods and Artificial Intelligence	Mar 23, 2021	WARSAW, POLAND
ICWE 2022	CfP International Conference on Web Engineering, ICWE 2022 - Call for Demos & Posters	Jul 5, 2022	Bari, Italy
ICWE 2022	CfP International Conference on Web Engineering, ICWE 2022 - Call for PhD Symposium	Jul 5, 2022	Bari, Italy
ICWE 2022	CfP International Conference on Web Engineering, ICWE 2022 - Call for Tutorials	Jul 5, 2022	Bari, Italy
ICWE 2022	CfP International Conference on Web Engineering, ICWE 2022 - Call for Workshop Proposals	Jul 5, 2022	Bari, Italy
KES 2020	Classification, forecasting and decision support - invited session at KES2020 	Sep 16, 2020	Verona, Italy
IFCS 2022	Classification and Data Science in the Digital Age	Jul 19, 2022	Porto, Portugal
CLDD 2020	Classifier Learning from Difficult Data 2020 (ICCS 2020 workshop)	Jun 3, 2020	Amsterdam, The Netherlands
CodiEsp (eHealth CLEF 2020) 2020	CLEF-2020 CodiEsp: clinical text classification, indexing and explainable AI Task (eHealth CLEF 2020)	Sep 22, 2020	Thessaloniki, Greece
CAMLIS 2022	Conference on Applied Machine Learning for Information Security	Oct 20, 2022	Arlington, Virginia
CIKM 2021	Conference on Information and Knowledge Management	Nov 1, 2021	Online-Gold Coast, Queensland, Australia
ACM RACS 2022	Conference on Research in Adaptive and Convergent Systems	Oct 3, 2022	The University of Aizu, Japan
CSCT 2022	Congress on Smart Computing Technologies	Dec 3, 2012	South Asian University, India 
CSoNet  2021	CSoNet 2021 Call for Papers	Nov 15, 2021	Montreal, Quebec, Canada
DASFAA 2022	Database Systems for Advanced Applications	Apr 11, 2022	Online (Hosted by IIIT Hyderabad, India)
FLAIRS 2020	DataMining@FLAIRS2020	May 17, 2020	North Miami Beach, Florida
DSRE  2020	Data Science for Retail and E-commerce workshop (colocated with SIAM SDM 20)	May 9, 2020	Cincinnati, Ohio, USA
DPM 2020	Discriminative Pattern Mining Workshop	Dec 10, 2020	Atlanta, Georgia, USA
DMBD 2022	DMBD'2022: Call for Special Session Proposals & Call for Papers 	Nov 21, 2022	Beijing,China
EAI BigIoT-EDU (virtual) 2021	EAI International Conference on Application of Big Data, Blockchain, and Internet of Things for Education Informatization (online conference)	Aug 1, 2021	N/A, Cyberspace
EAI BCBE  2022	EAI International Conference on Block chain, cloud computing and big data with education	Nov 25, 2022	Wuxi, People's Republic of China
CIMB 2020	EAIS2020 Special Session on Computational Intelligence methods in bioinformatics	May 27, 2020	Bari, Italy
AIM 2022	ECCV 2022 - Advances in Image Manipulation workshop and challenges	Oct 23, 2022	Tel-Aviv, Israel
EDM 2021	Educational Data Mining	Jun 29, 2021	Paris, France
ENHANCE 2022	Enabling Technologies and Dependability in Cyber-Physical Systems	Jun 20, 2022	Budapest, Hungary
EpiMine 2021	EpiMine: Workshop on Mining and Policy-Making for Epidemic Surveillance	Dec 7, 2021	Auckland, New Zealand
ECML PKDD 2021	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Sep 13, 2021	Bilbao, Spain
evoAPPS 2023	EvoApplications 2023 - 26th European Conference on the Applications of Evolutionary and bio-inspired Computation	Apr 12, 2023	Brno, Czech Republic
evostar 2023	EvoStar 2023 - The Leading European Event on Bio‑Inspired Computation	Apr 12, 2023	Brno, Czech Republic
ICTC 2022	Extended Deadline (Firm Deadline): Aug. 22 (Hybrid: Virtual & In Person, Jeju Island, South Korea)  - The 13th International Conference on ICT Convergence - 	Oct 19, 2022	Jeju Island, South Korea
FCPAE & AIAM 2022	FCPAE Europe Forum & 4th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM2022) 	Oct 7, 2022	Hamburg, Germany
FedCSIS - AI 2020	FedCSIS 2020 Track 1: Artificial Intelligence (AI)	Sep 6, 2020	Sofia, Bulgaria
XPERT4CQA 2021	First International Workshop on eXPErt RecommendaTion for Community Question Answering (XPERT4CQA)	Dec 14, 2021	Melbourne, Australia
FLAIRS 2021	FLAIRS-34 Special Track on Neural Networks and Data Mining	May 16, 2021	North Miami Beach, Florida
FLAIRS-35 ST NN DM 2022	FLAIRS-35 Special Track on Neural Networks and Data Mining	May 15, 2022	Jensen Beach, Florida
AIHealth@FLAIRS 2022	FLAIRS Special Track on Artificial Intelligence in Healthcare Informatics	May 15, 2022	Jensen Beach, FL, USA
AIHealth@FLAIRS 2021	FLAIRS Special Track on Artificial Intelligence in Healthcare Informatics (DEADLINE EXTENDED)	May 16, 2021	North Miami Beach, FL
GC 2022	Graph Computing	Sep 19, 2022	Laguna Hills, CA
GNNet@CoNEXT 2022	Graph Neural Networking Workshop (co-located with ACM CoNEXT 2022)	Dec 9, 2022	Rome, Italy
GRAPH-QUALITY@ECML-PKDD 2022	GRAPH-QUALITY Workshop Co-located with ECML-PKDD	Sep 23, 2022	Grenoble, France
HDSS  2022	Health Data Science Session (HDSS)- DeLTA Conference	Jul 12, 2022	Lisbon, Portugal
ICAIA 2021	IAENG International Conference on Artificial Intelligence and Applications 2021	Oct 20, 2021	Hong Kong, China
ICML ExVo 2022	ICML Expressive Vocalization (ExVo) Workshop and Competition 	Jul 22, 2022	Baltimore, USA 
ICWE Workshops 2021	ICWE 2021 - Workshops Joint Call for Papers	May 18, 2021	Biarritz, France
IEEE--ISCIT 2022	IEEE--2022 21th International Symposium on Communications and Information Technologies (ISCIT 2022)	Sep 27, 2022	Xi'an, China
PRML 2022	IEEE--2022 3rd International Conference on Pattern Recognition and Machine Learning (PRML 2022)	Jul 15, 2022	Sichuan University, Chengdu, China
ACMLC 2022	IEEE--2022 5th Asia Conference on Machine Learning and Computing (ACMLC 2022)	Dec 28, 2022	Bangkok, Thailand
IEEE ICCBD 2022	IEEE--2022 5th International Conference on Computing and Big Data (ICCBD 2022)	Oct 28, 2022	Shanghai, China
ICCIS 2022	IEEE--2022 6th International Conference on Communication and Information Systems (ICCIS 2022)	Oct 14, 2022	Chongqing, China
ICMIE 2022	IEEE--2022 6th International Conference on Measurement Instrumentation and Electronics (ICMIE 2022)	Nov 17, 2022	Hangzhou, China
ICCC 2022	IEEE--2022 8th International Conference on Computer and Communications (ICCC 2022)	Dec 9, 2022	Chengdu, China
IEEE--ISCMI 2022	IEEE--2022 9th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2022)--SCIE	Nov 26, 2022	Toronto, Canada
ICCCI 2022	IEEE--2022 The 4th International Conference on Computer Communication and the Internet (ICCCI 2022)	Jul 1, 2022	Chiba, Japan
WSCE 2022	IEEE--2022 The 5th World Symposium on Communication Engineering (WSCE 2022)	Sep 16, 2022	Nagoya University, Japan
ICCSN 2023	IEEE--2023 15th International Conference on Communication Software and Networks (ICCSN 2023)	Jun 14, 2023	Shenyang, China 
ICISPP 2023	IEEE--2023 4th International Conference on Information Security and Privacy Protection (ICISPP 2023)	Jul 8, 2023	Wuxi, China
ICBDA 2023	IEEE--2023 the 8th International Conference on Big Data Analytics (ICBDA 2023)	Mar 3, 2023	Harbin, China
ICCCBDA 2023	IEEE--2023 the 8th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2023)	Apr 26, 2023	Chengdu, China
ICIM 2023	IEEE--2023 the 9th International Conference on Information Management (ICIM 2023)	Mar 17, 2023	the University of Oxford, Oxford, UK
ICCCMLA 2022	IEEE 4th International Conference on Cybernetics, Cognition and Machine Learning Applications	Oct 8, 2022	Goa, India
ARIAL@ICDM 2022	IEEE 5th Workshop on AI for Aging, Rehabilitation, and Intelligent Assisted Living	Nov 28, 2022	Orlando, USA
AIKE 2022	IEEE Artificial Intelligence & Knowledge Engineering 	Sep 19, 2022	Laguna Hills, CA
cluster 2022	IEEE Cluster Conference	Sep 6, 2022	Heidelberg, Germany
IEEE COINS 2021	IEEE COINS | IoT , AI, and Big Data for Healthcare Track	Aug 23, 2021	Barcelona, Spain
IDSTA 2020	IEEE co-sponsored International Conference on Intelligent Data Science Technologies and Applications	Oct 19, 2020	Valencia, Spain
IAAA 2021	IEEE ICDM 2021 Workshop on Intelligence-Augmented Anomaly Analytics	Dec 7, 2021	Auckland, New Zealand
AISC 2023	IEEE International Conference on Artificial Intelligence and Smart Communication	Jan 27, 2023	Noida, India
Big Data 2020	IEEE International Conference on Big Data	Dec 13, 2020	Atlanta, GA, USA
BigData 2021	IEEE International Conference on Big Data 2021 Data Challenges	Dec 15, 2021	Orlando, FL
DSAA 2020	IEEE International Conference on Data Science and Advanced Analytics	Oct 6, 2020	Sydney, Australia
ICMLA 2022	IEEE International conference on Machine Learning and Applications	Dec 12, 2022	Nassau, The Bahamas
BigMM 2022	IEEE International Conference on Multimedia Big Data	Dec 5, 2022	Naples, Italy
BigMM 2021	IEEE International Conference on Multimedia Big Data 2021	Nov 15, 2021	Taichung, Taiwan
ICSC 2023	IEEE International Conference on Semantic Computing	Feb 1, 2023	Laguna Hills, CA
TransAI 2022	IEEE International Conference on Transdisciplinary AI	Sep 19, 2022	Laguna Hills, CA
ISM 2022	IEEE International Symposium on Multimedia 	Dec 5, 2022	Naples, Italy
ESDPS  2022	IEEE Smart Data Workshop on Emerging Smart Data Applications in New Power Systems	Aug 22, 2022	Espoo, Finland
IFAC MIM '2022 SIMCA 2022	IFAC MIM '2022 SIMCA Open Invited Track	Jun 22, 2022	Nantes, France
IFAC WC SIMCA 2023	IFAC WC '2023 SIMCA Open Invited Track	Jul 9, 2023	Yokohama, Japan
IFAC World Congress SIMCA 2020	IFAC World Congress SIMCA 2020 : IFAC WORLD CONGRESS '2020 OPEN INVITED TRACK on SYSTEM IDENTIFICATION for MANUFACTURING CONTROL APPLICATIONS	Jul 12, 2020	Berlin, Germany
IPMI 2023	Information Processing in Medical Imaging	Jun 19, 2023	San Carlos de Bariloche, Argentina 
ISIR-eCom 2022	INTERACTIVE AND SCALABLE INFORMATION RETRIEVAL METHODS FOR ECOMMERCE ((conjunction with WSDM 2022)	Feb 21, 2022	Phoenix, Arizona
ICAI 2020	International Conference on Artificial Intelligence	Apr 17, 2020	Larache, Morocco
ICCIC 2021	International Conference on Cognitive and Intelligent Computing	Dec 11, 2021	Hyderabad, India
CSML 2023	International Conference on Computer Science and Machine Learning 	Jan 2, 2023	Zurich, Switzerland
ICCS 2021	International Conference on Conceptual Structures	Sep 20, 2021	Bolzano, Italy
ICDE 2021	International Conference on Data Engineering	Apr 19, 2021	Chania, Crete, Greece
EDM 2022	International Conference on Educational Data Mining	Jul 24, 2022	Durham, UK
INCOFT 2022	International Conference on Futuristic Technologies	Nov 25, 2022	 Belagavi, Karnataka, India
ICISCI 2022	International Conference on Intelligent Systems and Computational Intelligence	May 10, 2022	Changsha, China
ICLR 2023	International Conference on Learning Representations	May 1, 2023	Kigali, Rwanda
MLAEDU 2022	International Conference on Machine Learning, AI and Education	Dec 17, 2022	Dubai, UAE
ICMBWA 2020	International Conference on Managing Business through Web Analytics	Dec 7, 2020	Khemis Miliana, Algeria
NLMLT 2022	International Conference on NLP and Machine Learning Trends	Nov 12, 2022	Chennai, India
IEEE COINS 2021	International Conference on Omni-Layer Intelligent Systems Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing	Aug 23, 2021	Barcelona, Spain
IEEE COINS 2022	International Conference on Omni-Layer Intelligent Systems Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing | Se	Aug 1, 2022	Barcelona, Spain
PREDICTION SOLUTIONS 2022	International Conference on Prediction Solutions for Technical and Societal Systems	Jul 24, 2022	Nice, France
ICSC 2021	International Conference on Semantic Computing	Jan 27, 2021	Laguna Hills, CA
SIGV 2022	International Conference on Signal Processing and Vision	Dec 17, 2022	Dubai, UAE
ICUIA 2021	International Conference on Urban Intelligence and Applications 2021	Jul 30, 2021	Hefei, China
ICWE 2022	International Conference on Web Engineering	Jul 5, 2022	Bari, Italy
IJCNN 2023	International Joint Conference on Neural Networks	Jul 18, 2023	Gold Coast, Australia
